Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Variable O&M cost,Levelized cost of electrcity (LCOE)
6%,"2,456",55,40,0.066,0.0292,1.3900,50.2
6%,"1,282",40,30,0.073,0.0292,1.3900,38.7
6%,"1,282",40,40,0.066,0.0292,1.3900,36.4
6%,"1,282",50,30,0.073,0.0292,1.3900,31.2
6%,"1,282",50,40,0.066,0.0292,1.3900,29.4
6%,"1,282",55,30,0.073,0.0292,1.3900,28.5
6%,"1,282",55,40,0.066,0.0292,1.3900,26.8
4%,"3,63",40,30,0.058,0.0292,1.3900,91.5
4%,"3,63",40,40,0.051,0.0292,1.3900,84.0
4%,"3,63",50,30,0.058,0.0292,1.3900,73.5
4%,"3,63",50,40,0.051,0.0292,1.3900,67.5
4%,"3,63",55,30,0.058,0.0292,1.3900,67.0
4%,"3,63",55,40,0.051,0.0292,1.3900,61.5
4%,"2,456",40,30,0.058,0.0292,1.3900,62.4
4%,"2,456",40,40,0.051,0.0292,1.3900,57.3
4%,"2,456",50,30,0.058,0.0292,1.3900,50.2
4%,"2,456",50,40,0.051,0.0292,1.3900,46.1
4%,"2,456",55,30,0.058,0.0292,1.3900,45.8
4%,"2,456",55,40,0.051,0.0292,1.3900,42.0
4%,"1,282",40,30,0.058,0.0292,1.3900,33.2
4%,"1,282",40,40,0.051,0.0292,1.3900,30.6
4%,"1,282",50,30,0.058,0.0292,1.3900,26.9
4%,"1,282",50,40,0.051,0.0292,1.3900,24.7
4%,"1,282",55,30,0.058,0.0292,1.3900,24.5
4%,"1,282",55,40,0.051,0.0292,1.3900,22.6
